AIC,BIC,likelihood,number of observations,number of classes,number of clusters,purity,purity 2,rand index,entropy (clusters),entropy (classes),precision,recall,F-measure,homogeneity,completeness,V-Measure,NV-Measure,mutual information,normalized mutual information,normalized mutual information 2
47387.19352304096,89935.13361053336,37.48508096198806,40,21,19,0.825,"[(0.7142857142857143, 7), (1.0, 2), (1.0, 1), (0.5, 4), (1.0, 2), (1.0, 4), (0.6666666666666666, 3), (0.6666666666666666, 3), (1.0, 1), (1.0, 1), (0.6666666666666666, 3), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9564102564102565,2.719926463770963,2.861011537527429,0.5111111111111111,0.6571428571428571,0.575,0.8648931341553401,0.9097559321938544,0.8867574715830948,0.8023043790513715,2.4744692355466866,0.887040957065431,0.8867574715830948
52111.215187101174,117010.48504737407,23.544636926965985,76,28,21,0.6842105263157895,"[(1.0, 2), (0.6666666666666666, 3), (0.2727272727272727, 11), (0.42857142857142855, 7), (0.3333333333333333, 3), (1.0, 5), (1.0, 9), (0.5, 8), (1.0, 6), (1.0, 1), (0.6, 5), (0.5, 4), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (0.75, 4), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9543859649122807,2.7212329258727648,3.0690614850625026,0.4948453608247423,0.75,0.5962732919254659,0.802989592751393,0.9056278896922888,0.8512259505717474,0.6384194629288106,2.4644244320193245,0.8527659528430497,0.8512259505717473
74052.63891604799,188120.2918207206,21.174465707507725,130,37,30,0.7615384615384615,"[(1.0, 4), (0.4, 5), (0.5, 6), (0.6, 5), (1.0, 1), (1.0, 5), (1.0, 7), (1.0, 6), (0.4166666666666667, 12), (0.8, 5), (0.5555555555555556, 9), (0.6666666666666666, 6), (1.0, 7), (1.0, 4), (0.75, 4), (0.5714285714285714, 7), (0.8, 5), (1.0, 1), (0.875, 8), (1.0, 5), (0.5, 4), (0.8, 5), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9688729874776386,3.1810533121677445,3.3402401424834283,0.5705705705705706,0.6168831168831169,0.592823712948518,0.8549507493291587,0.8977343453604316,0.8758203668073691,0.7101246217357047,2.855740812755543,0.8760814181709499,0.8758203668073692
91282.35499391082,252359.61312952527,17.3595050915969,197,40,37,0.7766497461928934,"[(0.6666666666666666, 3), (0.6, 5), (0.5, 8), (0.8, 5), (0.6666666666666666, 3), (1.0, 5), (1.0, 7), (1.0, 8), (0.6923076923076923, 13), (1.0, 8), (0.8571428571428571, 7), (0.8333333333333334, 6), (1.0, 11), (0.7142857142857143, 7), (0.8, 5), (0.5, 4), (1.0, 4), (1.0, 3), (1.0, 10), (1.0, 6), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (0.5, 6), (0.25, 8), (0.5, 6), (0.5714285714285714, 7), (1.0, 6), (0.2857142857142857, 7), (1.0, 6), (1.0, 2), (1.0, 5), (0.5, 8), (1.0, 1), (1.0, 1), (1.0, 1)]",0.971874028799337,3.4429940821688194,3.372037748285461,0.6774744027303754,0.5286284953395473,0.5938668661181751,0.8734291040481748,0.8554286876515118,0.8643351880295677,0.7995100489273501,2.9452359093015947,0.8643820406698451,0.8643351880295677
109053.34233523064,308875.2012051482,16.812021288038224,227,45,44,0.7797356828193832,"[(1.0, 3), (0.4, 5), (0.5, 8), (0.8, 5), (0.5, 4), (1.0, 5), (1.0, 7), (0.9, 10), (1.0, 8), (1.0, 10), (0.875, 8), (0.8333333333333334, 6), (1.0, 13), (0.8333333333333334, 6), (0.5714285714285714, 7), (0.5, 4), (0.8, 5), (1.0, 4), (0.9230769230769231, 13), (1.0, 6), (0.75, 4), (0.4444444444444444, 9), (1.0, 1), (1.0, 1), (0.5, 6), (0.23076923076923078, 13), (0.5, 8), (0.8, 5), (1.0, 1), (0.8, 5), (1.0, 6), (1.0, 2), (1.0, 5), (1.0, 6), (0.5555555555555556, 9), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9713851311839694,3.54338107719106,3.4429028671141646,0.6612466124661247,0.5020576131687243,0.5707602339181287,0.8637104248631121,0.8392185410875752,0.8512883592547222,0.8323708401601728,2.973671098117602,0.8513764165607071,0.8512883592547222
126419.17493927476,364557.96950970916,17.661650121450474,250,50,51,0.776,"[(1.0, 2), (0.6666666666666666, 6), (0.5714285714285714, 7), (0.7142857142857143, 7), (0.5, 4), (1.0, 5), (0.9166666666666666, 12), (0.8888888888888888, 9), (1.0, 10), (1.0, 6), (0.875, 8), (0.8333333333333334, 6), (1.0, 12), (0.23076923076923078, 13), (0.5, 8), (1.0, 5), (0.8, 5), (1.0, 4), (1.0, 1), (1.0, 6), (0.75, 4), (1.0, 5), (1.0, 1), (1.0, 1), (0.42857142857142855, 7), (1.0, 8), (0.5555555555555556, 9), (0.8333333333333334, 6), (1.0, 1), (0.8, 5), (1.0, 6), (1.0, 2), (0.5, 10), (0.4, 10), (1.0, 6), (0.5, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (0.5, 4), (1.0, 5), (0.5, 4), (0.8571428571428571, 7), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9683212851405623,3.6757665859262096,3.490221626212332,0.6309067688378033,0.4147774979009236,0.5005065856129686,0.8599258484347414,0.8165186017625368,0.8376602652128105,0.8212355541302063,3.0013317931459222,0.8379411980463773,0.8376602652128105
146550.54896321433,434728.0449014214,16.863011967322556,294,50,59,0.8197278911564626,"[(0.5, 8), (0.7142857142857143, 7), (0.5714285714285714, 7), (0.8333333333333334, 6), (0.75, 4), (1.0, 5), (0.875, 8), (0.9, 10), (1.0, 13), (1.0, 10), (1.0, 8), (0.5833333333333334, 12), (1.0, 13), (0.23076923076923078, 13), (0.5, 8), (1.0, 6), (1.0, 4), (1.0, 4), (1.0, 1), (1.0, 6), (0.5, 2), (1.0, 7), (1.0, 1), (1.0, 1), (0.5, 6), (1.0, 10), (1.0, 1), (1.0, 2), (1.0, 1), (0.6363636363636364, 11), (1.0, 7), (1.0, 2), (0.7777777777777778, 9), (0.8, 10), (1.0, 6), (1.0, 3), (1.0, 1), (1.0, 7), (0.6, 5), (1.0, 1), (1.0, 1), (0.75, 4), (1.0, 5), (0.5, 4), (0.5, 8), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 5), (1.0, 1), (1.0, 3), (1.0, 4), (1.0, 3), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9694225813192171,3.7991002109643652,3.5127345912421526,0.6969387755102041,0.40105695830886673,0.5091315691390235,0.889370537964906,0.8223322575499894,0.8545386315889386,0.7241852810075751,3.1241226531409674,0.8551947627781227,0.8545386315889386
