AIC,BIC,likelihood,number of observations,number of classes,number of clusters,purity,purity 2,rand index,entropy (clusters),entropy (classes),precision,recall,F-measure,homogeneity,completeness,V-Measure,NV-Measure,mutual information,normalized mutual information,normalized mutual information 2
48668.482159431376,109562.71975696346,293.0439730071078,40,21,7,0.275,"[(1.0, 1), (0.2222222222222222, 9), (0.15789473684210525, 19), (1.0, 1), (0.3333333333333333, 3), (0.3333333333333333, 3), (0.5, 4)]",0.6974358974358974,1.492474129697022,2.861011537527429,0.0410958904109589,0.2571428571428571,0.07086614173228346,0.33377925129022673,0.6398411000413545,0.4387042300922186,0.14623474336407283,0.9549462889286058,0.4621316731371248,0.43870423009221865
158057.43970417717,398167.2576871347,315.66158089357117,76,28,20,0.4605263157894737,"[(1.0, 1), (1.0, 1), (0.5, 2), (1.0, 1), (0.3333333333333333, 3), (0.5, 2), (0.5, 2), (0.7142857142857143, 7), (0.16666666666666666, 6), (0.2, 5), (0.5, 2), (0.75, 4), (1.0, 1), (0.2, 5), (0.4, 15), (0.6666666666666666, 3), (0.5, 4), (0.5, 4), (0.4, 5), (0.3333333333333333, 3)]",0.9066666666666666,2.7359639990003912,3.0690614850625026,0.15841584158415842,0.25,0.19393939393939394,0.5988671313728684,0.6717778626611504,0.6332306559591404,0.452307611399386,1.8379600475663365,0.634275714127287,0.6332306559591405
199385.98949283245,598191.210724393,302.9461942583368,130,37,27,0.36923076923076925,"[(1.0, 1), (1.0, 1), (0.5, 2), (0.5, 2), (0.3333333333333333, 3), (1.0, 1), (1.0, 2), (0.5, 2), (0.5, 2), (0.16666666666666666, 6), (0.6666666666666666, 3), (0.3333333333333333, 3), (0.2857142857142857, 7), (0.3333333333333333, 3), (0.5, 2), (0.3333333333333333, 3), (0.5, 6), (0.3333333333333333, 9), (0.5, 2), (1.0, 1), (0.5, 10), (0.2857142857142857, 7), (0.3333333333333333, 6), (0.16666666666666666, 24), (1.0, 1), (0.2222222222222222, 9), (0.4166666666666667, 12)]",0.9096004770423375,2.911028893236048,3.3402401424834283,0.10387323943661972,0.19155844155844157,0.13470319634703196,0.550716853769822,0.6319162775671472,0.5885289951826299,0.4294671045927299,1.8395265421041358,0.5899211339049627,0.58852899518263
314420.57966902916,1024712.1575479343,300.15588916490066,197,40,42,0.40609137055837563,"[(1.0, 1), (1.0, 2), (1.0, 1), (0.5, 2), (1.0, 1), (0.16216216216216217, 37), (1.0, 1), (0.5, 2), (0.4, 5), (1.0, 2), (0.5, 4), (0.42857142857142855, 7), (0.4, 5), (0.4, 5), (1.0, 1), (0.5, 2), (0.3333333333333333, 3), (0.4, 5), (0.5, 4), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (0.3333333333333333, 3), (0.25, 4), (0.3333333333333333, 3), (0.4, 5), (0.5, 4), (0.5, 4), (0.6, 5), (0.3333333333333333, 3), (0.4, 5), (0.3333333333333333, 6), (0.25, 8), (0.3333333333333333, 9), (0.5714285714285714, 7), (0.42857142857142855, 7), (0.42857142857142855, 7), (0.4, 5), (0.3333333333333333, 6), (0.5, 6), (0.5, 6)]",0.9178493732518388,3.355688750455239,3.372037748285461,0.08291708291708291,0.11051930758988016,0.09474885844748858,0.564858206513133,0.5676102095382686,0.5662308642147199,0.5392674897283046,1.904723194791109,0.566232536117742,0.5662308642147199
364867.434415431,1229317.9689277022,308.2126995254823,227,45,49,0.4008810572687225,"[(1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 2), (0.16666666666666666, 6), (0.4, 5), (0.5, 2), (0.6666666666666666, 3), (1.0, 1), (1.0, 1), (0.4, 5), (0.5, 6), (0.25, 4), (1.0, 3), (0.7142857142857143, 7), (0.3333333333333333, 3), (0.3333333333333333, 6), (0.2857142857142857, 7), (0.25, 4), (0.5, 2), (1.0, 1), (0.5, 2), (0.47368421052631576, 19), (0.5, 4), (0.25, 8), (0.3333333333333333, 6), (0.5, 2), (1.0, 1), (0.4, 5), (0.16666666666666666, 6), (0.3333333333333333, 6), (0.375, 8), (0.2, 5), (1.0, 2), (0.5, 2), (0.375, 8), (0.3333333333333333, 3), (0.125, 8), (0.6, 5), (0.5, 2), (0.6666666666666666, 3), (0.25, 4), (0.2222222222222222, 18), (0.5, 4), (0.18181818181818182, 11), (0.5, 4), (0.5, 2), (0.2857142857142857, 7)]",0.9401972632645901,3.624420018974653,3.4429028671141646,0.1273209549071618,0.09876543209876543,0.11123986095017381,0.5911473810334656,0.5615417094023566,0.5759643491181988,0.5289468512309989,2.0352630130471483,0.5761544158073064,0.5759643491181989
342401.67176324764,1213072.3193219344,304.18465647350473,250,50,48,0.4,"[(1.0, 1), (1.0, 1), (1.0, 1), (0.5, 2), (0.3333333333333333, 3), (1.0, 1), (0.42857142857142855, 7), (0.2857142857142857, 7), (0.16666666666666666, 24), (1.0, 1), (0.5, 4), (0.5, 6), (0.6666666666666666, 6), (1.0, 1), (0.5, 2), (0.5, 2), (0.5, 2), (0.5, 2), (0.14285714285714285, 7), (0.2, 5), (0.5, 2), (0.5, 2), (0.6, 5), (0.4, 5), (0.4, 5), (0.5, 4), (0.3333333333333333, 6), (0.5, 2), (0.5, 2), (0.5, 4), (0.6, 5), (0.42105263157894735, 19), (0.2857142857142857, 7), (0.16666666666666666, 6), (0.42857142857142855, 7), (0.7142857142857143, 7), (0.45454545454545453, 11), (0.2857142857142857, 7), (0.2222222222222222, 9), (0.375, 8), (0.5, 4), (0.3333333333333333, 6), (0.375, 8), (0.5, 2), (0.5, 2), (0.5, 4), (0.4444444444444444, 9), (0.2857142857142857, 7)]",0.9394056224899598,3.5988759183112977,3.490221626212332,0.140641158221303,0.11418975650713686,0.12604263206672844,0.5922639041511679,0.5743827610659373,0.5831863008543947,0.5598588488202189,2.067132286693354,0.5832548127071387,0.5831863008543947
439283.1399241573,1577726.619238083,304.1409184963311,294,50,60,0.36054421768707484,"[(1.0, 1), (0.3333333333333333, 3), (1.0, 1), (1.0, 1), (1.0, 1), (0.5, 4), (0.5, 6), (0.5, 4), (0.4, 5), (0.5, 4), (0.5, 2), (0.6666666666666666, 3), (0.5, 2), (0.5, 4), (0.25, 4), (0.25, 8), (0.5, 8), (0.3333333333333333, 6), (0.5, 2), (0.5, 2), (0.3333333333333333, 3), (0.2, 5), (0.42857142857142855, 7), (0.25, 4), (0.2, 5), (0.4, 5), (0.2, 5), (0.6666666666666666, 3), (1.0, 1), (0.5, 2), (0.3333333333333333, 6), (0.4, 10), (0.5, 4), (0.3333333333333333, 3), (0.25, 8), (0.2857142857142857, 7), (0.3888888888888889, 18), (0.3333333333333333, 3), (0.4, 5), (0.3076923076923077, 13), (0.4, 5), (0.3333333333333333, 3), (0.5, 2), (0.3333333333333333, 6), (0.5, 2), (0.42857142857142855, 7), (0.3, 10), (0.3333333333333333, 3), (1.0, 1), (1.0, 1), (0.5, 2), (0.5, 2), (0.25, 4), (0.6, 5), (0.4, 5), (0.3333333333333333, 3), (0.09090909090909091, 33), (0.3333333333333333, 3), (0.25, 4), (0.4, 5)]",0.9366162847391516,3.791083397945824,3.5127345912421526,0.088871096877502,0.06517909571344686,0.07520325203252033,0.5759739596793467,0.5336848176214316,0.5540235681708969,0.4616863068090808,2.023243651820354,0.5544263320100931,0.5540235681708969
