AIC,BIC,likelihood,number of observations,number of classes,number of clusters,purity,purity 2,rand index,entropy (clusters),entropy (classes),precision,recall,F-measure,homogeneity,completeness,V-Measure,NV-Measure,mutual information,normalized mutual information,normalized mutual information 2
230609.0389569642,465491.637917314,594.2870130379473,40,21,27,0.925,"[(1.0, 1), (1.0, 1), (0.5, 2), (1.0, 2), (1.0, 4), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 2), (1.0, 2), (1.0, 1), (0.5, 2), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (0.6666666666666666, 3), (1.0, 1)]",0.9666666666666667,3.1905952241278617,2.861011537527429,0.7647058823529411,0.37142857142857144,0.5,0.9590867498635578,0.860014531488987,0.9068527962642338,0.7053299526499596,2.7439582568493224,0.9082007167147595,0.9068527962642337
215135.2736785218,563295.5585838133,550.1363573781462,76,28,29,0.75,"[(1.0, 1), (1.0, 1), (0.5, 2), (0.5, 6), (0.3888888888888889, 18), (1.0, 2), (1.0, 1), (1.0, 2), (0.8, 5), (1.0, 9), (1.0, 1), (1.0, 1), (1.0, 4), (1.0, 1), (0.5, 6), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9375438596491228,2.833014060271289,3.0690614850625026,0.3958333333333333,0.7421875,0.5163043478260869,0.8268625322636369,0.8957569207999517,0.8599320465214613,0.8302792173310661,2.537691951211579,0.8606206108531949,0.8599320465214614
232125.9687808221,763867.219601053,533.6308893045305,130,37,36,0.6923076923076923,"[(1.0, 5), (0.6666666666666666, 3), (0.5, 2), (1.0, 2), (1.0, 1), (0.5, 10), (0.75, 8), (1.0, 5), (0.8, 5), (0.8, 15), (1.0, 3), (1.0, 1), (1.0, 4), (0.5, 2), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 3), (1.0, 1), (0.3181818181818182, 22), (1.0, 2), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (0.3125, 16), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1)]",0.942397137745975,3.006574396098082,3.3402401424834283,0.3493975903614458,0.6590909090909091,0.4566929133858268,0.785677152158761,0.8728705885603972,0.8269818967356454,0.804631034661709,2.624350362672754,0.8281270906227344,0.8269818967356454
219252.74656594687,912632.5420381227,515.5514046549572,197,40,41,0.6751269035532995,"[(1.0, 6), (0.5454545454545454, 11), (0.6666666666666666, 3), (1.0, 6), (1.0, 1), (0.7272727272727273, 22), (0.3142857142857143, 35), (0.36, 25), (1.0, 2), (1.0, 4), (0.6666666666666666, 3), (1.0, 2), (1.0, 4), (0.3333333333333333, 3), (1.0, 1), (1.0, 2), (0.42857142857142855, 7), (1.0, 2), (1.0, 2), (1.0, 1), (1.0, 2), (0.8333333333333334, 12), (1.0, 2), (1.0, 12), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (0.6666666666666666, 3), (1.0, 1), (1.0, 2), (1.0, 2), (1.0, 1), (0.6, 5), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.938879104941469,3.0414817292202163,3.372037748285461,0.34776437189496096,0.6524633821571239,0.4537037037037037,0.766418756811142,0.8497151089655829,0.8059203649495419,0.7862637706824799,2.5843929789611857,0.80699293519649,0.8059203649495421
261748.76418534157,1108557.3811575659,512.6547044375736,227,45,48,0.7004405286343612,"[(1.0, 6), (1.0, 4), (0.6666666666666666, 3), (1.0, 6), (1.0, 1), (1.0, 3), (0.34210526315789475, 38), (0.40625, 32), (1.0, 2), (1.0, 4), (0.8, 5), (1.0, 2), (1.0, 4), (1.0, 2), (1.0, 1), (1.0, 2), (0.3333333333333333, 9), (1.0, 2), (1.0, 2), (1.0, 1), (0.5, 2), (0.72, 25), (1.0, 2), (1.0, 12), (1.0, 2), (1.0, 1), (0.9285714285714286, 14), (1.0, 1), (0.6, 5), (1.0, 1), (1.0, 1), (1.0, 2), (1.0, 2), (1.0, 1), (0.5833333333333334, 12), (1.0, 2), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9420295505048536,3.1130212619680373,3.4429028671141646,0.3604336043360434,0.684156378600823,0.4721334753283635,0.782941023102891,0.8659079609106498,0.8223371229281173,0.77094105274511,2.695589893222241,0.8233801460008143,0.8223371229281174
270976.2841319787,1196064.0672543906,508.8474317360426,250,50,51,0.704,"[(0.8571428571428571, 7), (0.7777777777777778, 9), (0.6666666666666666, 3), (1.0, 6), (1.0, 1), (1.0, 3), (0.30952380952380953, 42), (0.5, 2), (1.0, 2), (1.0, 4), (0.8, 5), (1.0, 1), (1.0, 4), (1.0, 2), (1.0, 1), (1.0, 2), (0.5, 6), (1.0, 2), (1.0, 2), (1.0, 1), (0.5, 2), (0.7241379310344828, 29), (1.0, 13), (0.625, 8), (1.0, 2), (1.0, 1), (0.9285714285714286, 14), (1.0, 1), (1.0, 2), (1.0, 2), (1.0, 2), (1.0, 2), (1.0, 2), (1.0, 1), (0.48717948717948717, 39), (1.0, 3), (1.0, 1), (0.6, 5), (1.0, 1), (1.0, 1), (0.5, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 3), (1.0, 1)]",0.9404658634538152,3.1250089489231923,3.490221626212332,0.35914893617021276,0.7086481947942905,0.47670149675232987,0.7757976180030852,0.8664633184015028,0.8186277388714934,0.8025762145798955,2.7077056239183817,0.8198781485702219,0.8186277388714935
290642.042071279,1372163.1632405198,504.3706767495255,294,50,57,0.7040816326530612,"[(0.75, 8), (0.5833333333333334, 12), (0.75, 4), (1.0, 6), (1.0, 1), (1.0, 3), (0.2916666666666667, 48), (0.8, 5), (0.5714285714285714, 7), (1.0, 4), (0.8, 5), (1.0, 1), (1.0, 4), (0.5, 8), (1.0, 1), (1.0, 2), (1.0, 2), (1.0, 2), (0.75, 4), (1.0, 1), (0.5, 2), (0.7777777777777778, 36), (1.0, 14), (0.6, 5), (1.0, 2), (1.0, 1), (0.9333333333333333, 15), (1.0, 1), (0.42857142857142855, 7), (1.0, 2), (1.0, 2), (1.0, 2), (0.5869565217391305, 46), (1.0, 1), (1.0, 1), (1.0, 3), (1.0, 1), (1.0, 2), (1.0, 4), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9445798797334634,3.1600603564671275,3.5127345912421526,0.39457459926017263,0.7516147974163241,0.5174853446533253,0.7807247397570725,0.8678564616560749,0.8219880338222196,0.7210421349317716,2.742478799583196,0.8231385121429642,0.8219880338222196
