AIC,377836.74986627337
BIC,1402435.5128908297
likelihood,304.1409184963311
number of observations,294.0
number of classes,50.0
number of clusters,54.0
purity,0.3673469387755102
rand index,0.9381022033386733
entropy (clusters),3.7645829517452487
entropy (classes),3.5127345912421526
precision,0.088871096877502
recall,0.06928948913681739
F-measure,0.07520325203252033
homogeneity,0.5759739596793467
completeness,0.5336848176214316
V-Measure,0.5540235681708969
NV-Measure,0.4857507020282623
mutual information,2.023243651820354
normalized mutual information,0.5544263320100931
normalized mutual information 2,0.5540235681708969
