AIC,BIC,likelihood,number of observations,number of classes,number of clusters,purity,purity 2,rand index,entropy (clusters),entropy (classes),precision,recall,F-measure,homogeneity,completeness,V-Measure,NV-Measure,mutual information,normalized mutual information,normalized mutual information 2
3622.7158091941237,30494.476803600963,352.49105238507343,40,21,12,0.4,"[(1.0, 1), (0.5, 2), (0.3333333333333333, 6), (0.2857142857142857, 7), (1.0, 1), (0.25, 4), (0.5, 2), (0.5, 4), (0.2, 5), (0.5, 2), (0.6666666666666666, 3), (0.3333333333333333, 3)]",0.8794871794871795,2.3323787259825997,2.861011537527429,0.05970149253731343,0.11428571428571428,0.0784313725490196,0.5743214328062899,0.7044911819866848,0.6327813478810427,0.36158934164631007,1.6431402455080797,0.6360852026560511,0.6327813478810427
-1020.5545624442311,57697.6104793893,338.2010168581857,76,28,19,0.4473684210526316,"[(1.0, 1), (1.0, 1), (0.5, 2), (1.0, 1), (1.0, 5), (0.2857142857142857, 7), (0.4, 5), (0.4, 5), (0.5, 2), (0.25, 4), (0.2222222222222222, 9), (1.0, 1), (0.3076923076923077, 13), (1.0, 1), (0.3333333333333333, 3), (0.5, 6), (1.0, 1), (0.4, 5), (0.5, 4)]",0.9035087719298246,2.6618013741328213,3.0690614850625026,0.14492753623188406,0.234375,0.1791044776119403,0.5939895973701583,0.6848710101107531,0.636201088948237,0.4317078817863037,1.822990595816536,0.637813652680922,0.636201088948237
-9487.811403350512,100777.49082001798,332.28389001288656,130,37,29,0.46923076923076923,"[(1.0, 1), (0.25, 4), (1.0, 1), (0.2, 5), (0.5714285714285714, 7), (0.75, 4), (0.5, 2), (0.2857142857142857, 7), (0.6, 5), (0.5, 4), (1.0, 1), (0.3333333333333333, 3), (0.2, 5), (0.2857142857142857, 7), (1.0, 1), (0.3333333333333333, 12), (0.5, 2), (0.46153846153846156, 13), (1.0, 1), (0.3333333333333333, 3), (0.42857142857142855, 7), (1.0, 1), (1.0, 1), (0.3333333333333333, 3), (0.5, 2), (0.4166666666666667, 12), (1.0, 1), (0.7272727272727273, 11), (0.5, 4)]",0.9350029815146095,3.0658951769013876,3.3402401424834283,0.21445783132530122,0.288961038961039,0.24619640387275243,0.6344490409464728,0.6912213342764536,0.6616195410411748,0.5185666673025424,2.119212154929521,0.6622270853819234,0.6616195410411748
-12933.249162845983,182972.23412722108,335.71383036255327,197,40,45,0.4873096446700508,"[(1.0, 1), (0.25, 4), (1.0, 1), (0.5, 2), (0.7142857142857143, 7), (1.0, 4), (0.8333333333333334, 6), (0.3333333333333333, 3), (1.0, 2), (0.5, 4), (0.5, 2), (1.0, 1), (0.6, 5), (0.5, 2), (0.3333333333333333, 9), (0.5, 2), (0.6666666666666666, 3), (0.3333333333333333, 3), (1.0, 1), (0.25, 4), (0.5, 4), (0.2857142857142857, 7), (0.3333333333333333, 3), (0.3333333333333333, 6), (1.0, 4), (0.45454545454545453, 11), (1.0, 1), (0.26666666666666666, 15), (0.5, 2), (0.45454545454545453, 11), (0.3333333333333333, 3), (0.36363636363636365, 11), (1.0, 1), (1.0, 1), (0.5, 4), (0.25, 8), (0.3333333333333333, 3), (0.5, 2), (0.2222222222222222, 9), (0.5, 4), (0.4, 5), (0.5, 2), (0.6666666666666666, 3), (1.0, 4), (0.7142857142857143, 7)]",0.9444214233916917,3.565110898378015,3.372037748285461,0.21554770318021202,0.16245006657789615,0.1852695520121488,0.6739483476752285,0.6374498111094997,0.6551911698903886,0.5823921510136787,2.2725792687554844,0.6554450754434988,0.6551911698903886
-37506.81376329754,153232.0776602593,327.94892899404744,227,45,42,0.4889867841409692,"[(0.5, 2), (0.5, 2), (0.3333333333333333, 9), (0.5, 2), (0.3333333333333333, 3), (0.5, 10), (0.4, 5), (1.0, 1), (0.25, 20), (1.0, 1), (0.375, 8), (0.5, 2), (0.5, 2), (0.42857142857142855, 7), (0.5, 2), (0.6666666666666666, 3), (0.8888888888888888, 9), (0.6666666666666666, 6), (0.75, 4), (0.375, 8), (0.5, 4), (0.5, 4), (0.6, 5), (0.4, 5), (0.5, 2), (0.5714285714285714, 7), (0.5, 2), (0.6666666666666666, 9), (1.0, 4), (0.5, 2), (0.3333333333333333, 3), (0.375, 8), (0.25, 4), (0.3333333333333333, 6), (0.5, 2), (0.625, 8), (0.3333333333333333, 9), (0.5, 6), (0.42857142857142855, 7), (0.6, 5), (0.5833333333333334, 12), (0.42857142857142855, 7)]",0.9460060036645744,3.5359462967048376,3.4429028671141646,0.2335483870967742,0.18621399176954734,0.20721236405266172,0.6593641200253988,0.6420138850590558,0.6505733441200735,0.6072017878454019,2.2701266193076535,0.6506311707611708,0.6505733441200735
-66296.01832618742,78453.6327025402,297.01203665237483,250,50,31,0.46,"[(1.0, 1), (0.15789473684210525, 19), (1.0, 1), (0.375, 8), (0.5, 2), (0.4, 5), (0.5, 4), (0.42857142857142855, 14), (1.0, 1), (0.36363636363636365, 11), (0.3333333333333333, 3), (0.375, 8), (0.6, 15), (0.5, 4), (0.25, 16), (0.42857142857142855, 7), (0.6666666666666666, 3), (0.6785714285714286, 28), (0.4, 5), (0.5, 2), (0.3333333333333333, 15), (0.3333333333333333, 3), (0.23529411764705882, 17), (0.5, 2), (0.47058823529411764, 17), (1.0, 1), (0.25, 4), (0.8333333333333334, 6), (0.8888888888888888, 9), (0.8, 5), (0.5, 14)]",0.9379598393574298,3.106700086546752,3.490221626212332,0.2652284263959391,0.3509655751469353,0.30213227322009395,0.5972322939270805,0.670960507956109,0.6319532530165165,0.3918110168702402,2.0844730681366963,0.6330239200070611,0.6319532530165165
-59907.48277220188,179425.7454510943,322.8800727418399,294,50,49,0.5102040816326531,"[(1.0, 1), (0.2222222222222222, 9), (1.0, 1), (0.5, 8), (1.0, 1), (1.0, 3), (0.5, 6), (0.5, 6), (0.6666666666666666, 6), (1.0, 3), (0.6666666666666666, 6), (0.3333333333333333, 6), (1.0, 1), (0.25, 4), (1.0, 1), (0.7777777777777778, 9), (0.5714285714285714, 7), (0.5, 2), (0.2727272727272727, 11), (0.5, 4), (1.0, 1), (0.375, 8), (1.0, 1), (0.17647058823529413, 17), (0.2, 5), (0.25, 8), (0.6666666666666666, 9), (0.8888888888888888, 18), (1.0, 2), (1.0, 1), (0.8, 5), (0.6666666666666666, 3), (0.6666666666666666, 6), (0.4, 5), (0.25, 4), (0.5, 6), (0.5, 4), (0.5, 6), (0.5, 2), (0.6666666666666666, 9), (0.3333333333333333, 6), (0.2, 10), (0.8, 5), (0.5, 10), (0.625, 8), (0.2857142857142857, 14), (0.25, 8), (0.5, 2), (0.625, 16)]",0.9501056395254347,3.6550614835825863,3.5127345912421526,0.3080895008605852,0.21021726365237817,0.249912739965096,0.667121046293922,0.6411435721090428,0.6538743991596097,0.6407969111764175,2.343419175862317,0.6540033414670045,0.6538743991596095
