AIC,15017.93250488321
BIC,288542.148128617
likelihood,228.80466492847356
number of observations,294.0
number of classes,50.0
number of clusters,56.0
purity,0.6802721088435374
rand index,0.9536114787211813
entropy (clusters),3.378084947399044
entropy (classes),3.5127345912421526
precision,0.43358507330075524
recall,0.630064591896653
F-measure,0.4936772888214466
homogeneity,0.7703453309226339
completeness,0.8171610524311981
V-Measure,0.7859574737175129
NV-Measure,0.708091867437205
mutual information,2.7060186911338193
normalized mutual information,0.7861075672948867
normalized mutual information 2,0.785957473717513
