AIC,-76123.25012323394
BIC,118057.01293879707
likelihood,311.8951944576178
number of observations,294.0
number of classes,50.0
number of clusters,40.0
purity,0.48639455782312924
rand index,0.9454389264238119
entropy (clusters),3.4656411017515056
entropy (classes),3.5127345912421526
precision,0.2811641954969797
recall,0.25190839694656486
F-measure,0.25349428208386277
homogeneity,0.6440557230649271
completeness,0.6519431491429194
V-Measure,0.6484021258325514
NV-Measure,0.5187217006660412
mutual information,2.262396817097646
normalized mutual information,0.6484168911340153
normalized mutual information 2,0.6484021258325513
