AIC,139814.49458756592
BIC,447529.69761173736
likelihood,47.200962025061024
number of observations,294.0
number of classes,50.0
number of clusters,63.0
purity,0.5816326530612245
rand index,0.9568387081795175
entropy (clusters),4.00411455775972
entropy (classes),3.5127345912421526
precision,0.38323353293413176
recall,0.17028772753963595
F-measure,0.23265142398716407
homogeneity,0.7504020211585387
completeness,0.6518525522016865
V-Measure,0.696414304704302
NV-Measure,0.5393700489337104
mutual information,2.6359631370616246
normalized mutual information,0.698223683880135
normalized mutual information 2,0.6964143047043021
