AIC,BIC,likelihood,number of observations,number of classes,number of clusters,purity,purity 2,rand index,entropy (clusters),entropy (classes),precision,recall,F-measure,homogeneity,completeness,V-Measure,NV-Measure,mutual information,normalized mutual information,normalized mutual information 2
238785.03000333943,464968.21089554834,363.3121249582572,40,21,26,0.975,"[(1.0, 6), (0.6666666666666666, 3), (1.0, 2), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 3), (1.0, 4), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9871794871794872,3.0473795362615284,2.861011537527429,0.9310344827586207,0.7714285714285715,0.84375,0.9833140964320022,0.9231777471199374,0.9522974832812514,0.7691633518810108,2.8132729749053174,0.9527715845129789,0.9522974832812514
268273.3671978856,640444.8669748069,336.0962684349634,76,28,31,0.7236842105263158,"[(0.625, 8), (0.5, 4), (0.5, 2), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 6), (1.0, 1), (0.25, 8), (0.4, 5), (1.0, 1), (1.0, 1), (1.0, 1), (0.75, 8), (1.0, 1), (1.0, 1), (1.0, 3), (0.5, 2), (0.4, 5), (1.0, 1), (1.0, 4), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9484210526315789,3.076830606360691,3.0690614850625026,0.4306569343065693,0.4609375,0.44528301886792454,0.8154572708385015,0.8133982083611792,0.8144264381527999,0.7356109763960773,2.502688502644627,0.8144270888760602,0.8144264381527998
257662.89575505193,745092.1367123928,316.54270863441565,130,37,33,0.6076923076923076,"[(0.75, 8), (0.7, 10), (0.35714285714285715, 14), (0.3333333333333333, 9), (1.0, 1), (1.0, 2), (0.6666666666666666, 3), (0.8571428571428571, 7), (1.0, 6), (0.5, 8), (0.3333333333333333, 6), (1.0, 1), (0.5, 2), (1.0, 1), (0.6, 5), (0.6666666666666666, 3), (0.75, 4), (0.25, 8), (0.4, 5), (1.0, 2), (1.0, 2), (0.4166666666666667, 12), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9445438282647585,3.110826420011084,3.3402401424834283,0.3080684596577017,0.4090909090909091,0.3514644351464435,0.726174190492312,0.7797272666564231,0.7519984976189407,0.6707013627412174,2.4255961815178284,0.7524744624696649,0.7519984976189406
299423.5003433299,992803.2958155057,312.072334153985,197,40,41,0.5786802030456852,"[(0.5, 10), (0.6666666666666666, 9), (0.75, 4), (0.2857142857142857, 7), (0.75, 4), (1.0, 1), (0.5555555555555556, 9), (0.8333333333333334, 6), (0.38461538461538464, 13), (0.8, 5), (1.0, 1), (0.25, 4), (0.5555555555555556, 9), (0.6666666666666666, 6), (0.4166666666666667, 12), (1.0, 5), (1.0, 5), (0.25, 8), (0.3333333333333333, 6), (0.5, 10), (1.0, 3), (1.0, 1), (1.0, 8), (0.18181818181818182, 11), (0.5, 12), (0.5, 2), (0.42857142857142855, 7), (0.4, 5), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.949238578680203,3.392879322338118,3.372037748285461,0.32884902840059793,0.2929427430093209,0.30985915492957744,0.7215577616130465,0.7171254202023404,0.7193347632577183,0.7017900129343593,2.433120009727555,0.7193381770746052,0.7193347632577184
312418.92322754,1088659.8700395776,310.27990478515426,227,45,44,0.5638766519823789,"[(0.4166666666666667, 12), (0.7777777777777778, 9), (0.6, 5), (0.4444444444444444, 9), (0.75, 4), (0.8333333333333334, 6), (0.2222222222222222, 9), (0.8, 5), (0.38461538461538464, 13), (1.0, 1), (0.5454545454545454, 11), (0.3333333333333333, 3), (0.5454545454545454, 11), (0.36363636363636365, 11), (0.6363636363636364, 11), (0.15384615384615385, 13), (1.0, 6), (1.0, 1), (0.3333333333333333, 6), (0.3333333333333333, 12), (1.0, 3), (0.4, 10), (0.8, 10), (1.0, 1), (0.5, 4), (0.6666666666666666, 3), (1.0, 1), (0.5714285714285714, 7), (1.0, 1), (1.0, 1), (1.0, 1), (0.4, 5), (1.0, 1), (0.8333333333333334, 6), (1.0, 1), (1.0, 1), (1.0, 2), (0.5, 2), (1.0, 4), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9497875326497992,3.454591431644123,3.4429028671141646,0.3132387706855792,0.2726337448559671,0.2915291529152915,0.7090863435674217,0.706687159279468,0.7078847185823033,0.6921539470582521,2.441315405299776,0.7078857350021445,0.7078847185823033
359497.14748129435,1266445.885415798,311.2017050374112,250,50,50,0.572,"[(0.4166666666666667, 12), (0.7777777777777778, 9), (0.5, 6), (0.5, 8), (0.6, 5), (0.8, 5), (1.0, 1), (0.6666666666666666, 6), (0.3333333333333333, 9), (0.6923076923076923, 13), (0.6666666666666666, 9), (0.25, 4), (0.6363636363636364, 11), (0.3333333333333333, 12), (0.5454545454545454, 11), (0.13333333333333333, 15), (1.0, 1), (0.8571428571428571, 7), (0.3333333333333333, 6), (0.2857142857142857, 14), (1.0, 3), (0.5, 10), (0.4, 5), (0.875, 8), (1.0, 1), (0.6666666666666666, 3), (1.0, 1), (0.6666666666666666, 6), (1.0, 1), (1.0, 1), (1.0, 1), (0.5, 8), (1.0, 1), (1.0, 4), (0.8333333333333334, 6), (1.0, 1), (0.6, 5), (1.0, 1), (1.0, 1), (0.25, 8), (1.0, 1), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9508755020080322,3.5581503855526675,3.490221626212332,0.3194444444444444,0.2510495382031906,0.28114715561824166,0.7196852960951906,0.7059457617917143,0.7127493214903277,0.7127493214903277,2.5118611844984597,0.7127824244481725,0.7127493214903278
354333.4501676025,1340983.9744290358,308.44991468094804,294,50,52,0.5170068027210885,"[(0.5833333333333334, 12), (0.7777777777777778, 9), (0.2727272727272727, 11), (0.5, 8), (0.5, 6), (0.6666666666666666, 6), (0.6666666666666666, 3), (1.0, 4), (0.42857142857142855, 14), (0.6666666666666666, 12), (0.6666666666666666, 9), (1.0, 1), (0.5454545454545454, 11), (1.0, 1), (0.6, 10), (0.125, 16), (0.3076923076923077, 13), (0.6666666666666666, 6), (0.5333333333333333, 15), (1.0, 1), (0.42857142857142855, 7), (0.2, 10), (0.3333333333333333, 12), (0.5, 6), (0.5, 8), (0.25, 8), (0.36363636363636365, 11), (0.42857142857142855, 7), (1.0, 1), (0.25, 4), (1.0, 1), (0.7142857142857143, 7), (1.0, 2), (0.4, 10), (1.0, 6), (0.42857142857142855, 7), (1.0, 1), (1.0, 1), (0.3333333333333333, 3), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9476678043230944,3.6050505904526773,3.5127345912421526,0.2754686226568867,0.1984732824427481,0.23071672354948805,0.6804432125760542,0.6630188260109019,0.6716180241963143,0.6457865617272254,2.390216410191843,0.6716745193687654,0.6716180241963143
