AIC,141155.17266160337
BIC,419563.81505682826
likelihood,16.863011967322556
number of observations,294.0
number of classes,50.0
number of clusters,57.0
purity,0.8061224489795918
rand index,0.9690743191474542
entropy (clusters),3.8014932295402057
entropy (classes),3.5127345912421526
precision,0.6969387755102041
recall,0.3840281855549031
F-measure,0.5001912045889101
homogeneity,0.8855744414829847
completeness,0.8183068562490857
V-Measure,0.8506128192721477
NV-Measure,0.7444837761221297
mutual information,3.1107879737172297
normalized mutual information,0.8512764751738892
normalized mutual information 2,0.8506128192721478
