AIC,BIC,likelihood,number of observations,number of classes,number of clusters,purity,purity 2,rand index,entropy (clusters),entropy (classes),precision,recall,F-measure,homogeneity,completeness,V-Measure,NV-Measure,mutual information,normalized mutual information,normalized mutual information 2
86391.27812187407,173383.7699238288,207.83402347657415,40,21,10,0.375,"[(0.3333333333333333, 6), (1.0, 1), (0.3333333333333333, 3), (0.5, 4), (0.4, 5), (1.0, 2), (0.5, 4), (0.25, 4), (0.25, 4), (0.14285714285714285, 7)]",0.8756410256410256,2.2068304934647243,2.861011537527429,0.08108108108108109,0.17142857142857143,0.11009174311926606,0.5546663165216211,0.7190886367329261,0.6262652708358092,0.2982215575408615,1.586906731046199,0.6315490839113032,0.6262652708358092
204313.72961960337,480440.3699100056,214.67283144997776,76,28,23,0.5263157894736842,"[(0.25, 4), (1.0, 1), (0.3333333333333333, 3), (0.3333333333333333, 3), (1.0, 2), (0.4, 5), (0.5, 4), (0.3333333333333333, 3), (0.5, 2), (0.3333333333333333, 6), (1.0, 3), (1.0, 1), (0.5, 6), (1.0, 2), (0.5, 2), (1.0, 2), (0.3333333333333333, 6), (0.6666666666666666, 3), (0.5, 6), (0.5, 2), (0.25, 4), (1.0, 1), (0.8, 5)]",0.9322807017543859,3.007982166391673,3.0690614850625026,0.226890756302521,0.2109375,0.21862348178137653,0.7064897819171734,0.7208355832352603,0.713590588987578,0.586163698096939,2.1682605792722036,0.7136266348714975,0.7135905889875781
276197.8929601841,748856.463963228,205.631180922369,130,37,32,0.5461538461538461,"[(0.3333333333333333, 3), (1.0, 1), (0.6666666666666666, 3), (1.0, 1), (0.3333333333333333, 3), (0.5, 4), (0.5, 4), (0.6, 5), (0.3333333333333333, 3), (0.5, 6), (1.0, 2), (0.5, 2), (0.5, 8), (0.6666666666666666, 3), (0.6666666666666666, 3), (0.5, 4), (0.3333333333333333, 3), (0.4, 5), (0.375, 8), (0.6666666666666666, 3), (0.4, 5), (1.0, 2), (0.6666666666666666, 3), (0.625, 8), (0.5, 6), (0.6, 5), (0.8, 5), (0.6, 5), (1.0, 1), (0.5, 8), (0.5, 2), (0.5, 6)]",0.948479427549195,3.3373792294952747,3.3402401424834283,0.2669172932330827,0.2305194805194805,0.24738675958188153,0.720123372397454,0.7207406862139233,0.720431897066861,0.6230762353010689,2.405384996022519,0.7204319631862719,0.720431897066861
265877.04193256085,823962.5781509016,188.03796463817042,197,40,33,0.467005076142132,"[(0.18181818181818182, 11), (0.3333333333333333, 3), (0.4, 5), (0.6666666666666666, 3), (0.6, 5), (0.5, 2), (0.42857142857142855, 7), (0.5, 8), (1.0, 1), (0.5, 6), (0.6666666666666666, 3), (0.6, 5), (0.5, 2), (0.2222222222222222, 9), (0.3333333333333333, 3), (0.4, 5), (0.8, 5), (0.6666666666666666, 3), (0.75, 8), (0.5, 2), (0.5, 4), (0.46153846153846156, 13), (0.5, 6), (0.6, 5), (0.625, 8), (0.5714285714285714, 7), (0.3333333333333333, 3), (0.2, 5), (0.2727272727272727, 11), (0.5555555555555556, 9), (0.2727272727272727, 11), (0.25, 4), (0.6, 15)]",0.9425049207500259,3.3408142877263294,3.372037748285461,0.23564064801178203,0.21304926764314247,0.22377622377622378,0.6353531343021269,0.641291184675919,0.6383083496746065,0.5266043884815503,2.142434752358254,0.6383152545444682,0.6383083496746065
444230.27775823174,1361606.564890643,201.47956440918117,227,45,52,0.5859030837004405,"[(0.3333333333333333, 3), (1.0, 1), (0.2, 5), (0.5, 6), (0.4, 5), (0.5, 4), (0.5, 8), (0.5, 2), (0.5, 4), (0.4, 5), (0.8, 10), (0.5, 4), (0.5, 4), (0.4, 5), (0.6, 5), (0.5, 4), (0.5555555555555556, 9), (0.6666666666666666, 3), (1.0, 5), (1.0, 3), (0.8333333333333334, 6), (0.5, 2), (0.4, 5), (1.0, 3), (0.5384615384615384, 13), (0.7142857142857143, 7), (0.5, 2), (0.5, 6), (0.5, 2), (0.6, 5), (0.6666666666666666, 9), (0.5, 4), (0.5, 2), (0.42857142857142855, 7), (0.6666666666666666, 6), (0.5, 2), (1.0, 1), (0.3333333333333333, 3), (0.4, 5), (0.6666666666666666, 3), (1.0, 6), (1.0, 2), (0.6666666666666666, 3), (1.0, 2), (0.4, 5), (0.5, 2), (0.75, 4), (0.3333333333333333, 3), (0.3333333333333333, 3), (0.5, 4), (0.6666666666666666, 3), (1.0, 2)]",0.9563369849128689,3.8161133614689318,3.4429028671141646,0.35984848484848486,0.19547325102880658,0.25333333333333335,0.7454798280629669,0.6725729542860853,0.7071521971000597,0.6119586321058209,2.566614637413763,0.7080886740521928,0.7071521971000597
399203.0472150014,1269873.6947736882,190.58190556999713,250,50,48,0.516,"[(0.2, 5), (1.0, 1), (0.5, 2), (0.5, 10), (0.6666666666666666, 3), (0.5, 2), (0.3333333333333333, 3), (0.6470588235294118, 17), (0.6666666666666666, 3), (0.8, 5), (0.8571428571428571, 7), (0.3333333333333333, 3), (0.25, 8), (0.5, 2), (0.6, 5), (0.5, 2), (0.5, 6), (0.4, 5), (0.3, 10), (1.0, 1), (0.625, 8), (0.6666666666666666, 3), (0.2, 5), (0.4, 5), (0.5, 4), (0.5, 18), (0.5, 2), (0.4, 5), (0.6666666666666666, 3), (1.0, 1), (0.5, 4), (0.3333333333333333, 3), (0.5714285714285714, 7), (0.6666666666666666, 3), (0.3333333333333333, 3), (0.3333333333333333, 3), (0.6, 5), (0.7142857142857143, 7), (0.3333333333333333, 3), (0.3333333333333333, 12), (1.0, 1), (0.6666666666666666, 6), (0.3333333333333333, 3), (0.5555555555555556, 9), (1.0, 6), (0.8333333333333334, 6), (0.2727272727272727, 11), (0.25, 4)]",0.9517751004016064,3.6540779681334534,3.490221626212332,0.3185011709601874,0.22837951301427373,0.26601466992665035,0.7061148820892135,0.6744512442127879,0.6899199563267536,0.6623231580736835,2.4644974320581436,0.6901014858571427,0.6899199563267535
349203.85649210995,1184061.4257010508,177.01044814267013,294,50,44,0.5,"[(0.1875, 16), (0.5, 2), (0.8333333333333334, 6), (0.5555555555555556, 9), (0.5, 2), (0.5, 4), (0.75, 4), (0.4, 5), (0.5, 6), (0.3333333333333333, 3), (0.3333333333333333, 3), (0.38461538461538464, 13), (1.0, 1), (0.8461538461538461, 26), (0.6, 10), (0.6666666666666666, 9), (1.0, 1), (0.2857142857142857, 7), (0.3333333333333333, 3), (0.4, 10), (0.6, 5), (1.0, 1), (0.6666666666666666, 3), (0.4, 5), (0.26666666666666666, 15), (1.0, 1), (0.375, 8), (0.8888888888888888, 9), (0.3333333333333333, 9), (0.2, 15), (0.5, 2), (0.3333333333333333, 3), (0.42857142857142855, 7), (0.4, 5), (0.25, 4), (0.375, 8), (0.3333333333333333, 9), (0.25, 4), (0.8333333333333334, 18), (1.0, 1), (0.6666666666666666, 6), (0.6666666666666666, 6), (0.25, 8), (0.5, 2)]",0.9511039910844884,3.516380199800354,3.5127345912421526,0.3585964912280702,0.30005871990604815,0.32672634271099743,0.6428735732128295,0.6422070737823984,0.6425401506596322,0.5654353325804764,2.2582442384201507,0.6425402370786172,0.6425401506596322
