AIC,BIC,likelihood,number of observations,number of classes,number of clusters,purity,purity 2,rand index,entropy (clusters),entropy (classes),precision,recall,F-measure,homogeneity,completeness,V-Measure,NV-Measure,mutual information,normalized mutual information,normalized mutual information 2
238785.03000333943,464968.21089554834,363.31212495825724,40,21,26,0.975,"[(1.0, 6), (0.6666666666666666, 3), (1.0, 2), (1.0, 2), (1.0, 1), (1.0, 3), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 4), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9871794871794872,3.047379536261529,2.861011537527429,0.9310344827586207,0.7714285714285715,0.84375,0.9833140964320021,0.9231777471199372,0.9522974832812511,0.7691633518810105,2.813272974905317,0.9527715845129788,0.9522974832812512
237945.86005180114,574100.5375212778,332.29039439604514,76,28,28,0.7105263157894737,"[(0.8571428571428571, 7), (0.8571428571428571, 7), (0.3333333333333333, 6), (1.0, 2), (0.5, 2), (0.6666666666666666, 6), (0.4, 5), (1.0, 2), (1.0, 3), (1.0, 1), (0.6666666666666666, 3), (1.0, 1), (0.7142857142857143, 7), (0.5, 2), (0.2857142857142857, 7), (0.5, 2), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9501754385964912,3.028848771007594,3.0690614850625026,0.4485294117647059,0.4765625,0.4621212121212121,0.8117100651036913,0.8224867882784991,0.8170628931009569,0.8170628931009569,2.4911880978473153,0.8170806597028635,0.8170628931009569
227267.00995622217,670384.2410506728,314.58073093760703,130,37,30,0.5923076923076923,"[(0.75, 8), (0.2222222222222222, 9), (0.2857142857142857, 7), (1.0, 1), (1.0, 2), (0.5, 8), (0.3333333333333333, 6), (1.0, 1), (1.0, 3), (0.6666666666666666, 6), (0.5, 12), (0.25, 8), (0.6666666666666666, 3), (1.0, 1), (0.7, 10), (0.5, 2), (1.0, 1), (0.625, 8), (0.6666666666666666, 3), (0.8333333333333334, 6), (1.0, 1), (1.0, 6), (0.6, 5), (0.2857142857142857, 7), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9475253428741801,3.097425685164442,3.3402401424834283,0.32722513089005234,0.40584415584415584,0.36231884057971014,0.7185472861609674,0.7748758916164177,0.745649293941162,0.6045805086009421,2.4001204895073904,0.7461802523737391,0.745649293941162
279227.6484931015,938783.8791518185,311.03642514441253,197,40,39,0.5634517766497462,"[(0.75, 8), (0.16666666666666666, 12), (0.5, 8), (0.2857142857142857, 7), (0.5, 2), (0.5454545454545454, 11), (0.4, 5), (0.7142857142857143, 7), (0.75, 8), (0.8, 10), (0.5, 6), (0.375, 8), (0.18181818181818182, 11), (0.5333333333333333, 15), (0.4, 10), (0.8333333333333334, 6), (1.0, 1), (1.0, 3), (1.0, 1), (1.0, 5), (1.0, 1), (1.0, 1), (0.3333333333333333, 6), (0.75, 4), (1.0, 1), (0.375, 8), (1.0, 1), (1.0, 1), (1.0, 1), (0.625, 8), (0.25, 8), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 5), (1.0, 1)]",0.9480990365689423,3.3494811842627623,3.372037748285461,0.3194244604316547,0.2956058588548602,0.3070539419087137,0.7035448725650917,0.7082827869129666,0.7059058798195694,0.6882582328240802,2.3723798679021733,0.7059098547681079,0.7059058798195694
342556.570541595,1171723.2699737726,311.97231158238986,227,45,47,0.5462555066079295,"[(0.3333333333333333, 9), (0.15384615384615385, 13), (0.6666666666666666, 3), (0.8571428571428571, 7), (0.5, 2), (0.375, 8), (0.18181818181818182, 11), (0.7142857142857143, 7), (0.75, 8), (0.6153846153846154, 13), (0.5, 6), (1.0, 1), (0.18181818181818182, 11), (0.5333333333333333, 15), (0.6, 5), (0.7142857142857143, 7), (1.0, 5), (1.0, 1), (1.0, 1), (1.0, 5), (1.0, 1), (1.0, 1), (0.625, 8), (1.0, 3), (0.5454545454545454, 11), (1.0, 1), (0.5714285714285714, 7), (1.0, 1), (1.0, 1), (0.5714285714285714, 7), (0.3333333333333333, 12), (1.0, 1), (1.0, 1), (1.0, 1), (0.2857142857142857, 7), (1.0, 2), (1.0, 1), (1.0, 1), (0.6666666666666666, 3), (0.6666666666666666, 3), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (0.3333333333333333, 3), (0.25, 8)]",0.9484620482632256,3.493460433981048,3.4429028671141646,0.2886473429951691,0.24588477366255143,0.26555555555555554,0.6977346815390709,0.687637023791433,0.6926490529054489,0.6631746251222383,2.402232735555856,0.6926674525409651,0.6926490529054489
339581.8971847134,1210252.5447434,309.8242056305732,250,50,48,0.556,"[(0.7142857142857143, 7), (1.0, 1), (0.5, 6), (1.0, 1), (0.4, 5), (0.2857142857142857, 14), (0.16666666666666666, 12), (0.6666666666666666, 6), (1.0, 1), (0.7, 10), (0.42857142857142855, 7), (0.2727272727272727, 11), (0.625, 8), (0.5333333333333333, 15), (0.75, 4), (0.5714285714285714, 7), (0.7142857142857143, 7), (1.0, 1), (1.0, 1), (1.0, 8), (1.0, 1), (0.7142857142857143, 14), (0.5, 8), (1.0, 3), (0.2857142857142857, 14), (1.0, 6), (0.25, 8), (1.0, 2), (1.0, 1), (1.0, 2), (0.5, 4), (0.3333333333333333, 6), (0.25, 4), (1.0, 1), (0.6666666666666666, 3), (0.6666666666666666, 3), (0.875, 8), (1.0, 1), (1.0, 1), (0.7142857142857143, 7), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (0.14285714285714285, 14), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9497510040160643,3.5244244876037225,3.490221626212332,0.30949948927477017,0.25440806045340053,0.27926267281105993,0.7042819322268754,0.6974472114396542,0.7008479090534224,0.6728139926912855,2.4581000308088483,0.7008562403938241,0.7008479090534223
314090.4361155629,1224844.48285075,306.8087821163896,294,50,48,0.54421768707483,"[(0.8, 10), (1.0, 1), (1.0, 1), (0.9, 10), (0.2857142857142857, 7), (0.4444444444444444, 9), (0.5714285714285714, 14), (0.6666666666666666, 6), (0.3, 10), (0.2222222222222222, 9), (0.42857142857142855, 7), (0.36363636363636365, 11), (0.5, 6), (0.5333333333333333, 15), (0.75, 4), (0.6666666666666666, 15), (0.7142857142857143, 7), (1.0, 1), (1.0, 1), (1.0, 8), (1.0, 1), (0.5454545454545454, 11), (0.1875, 16), (0.9, 10), (0.2857142857142857, 14), (0.5, 4), (0.3333333333333333, 12), (1.0, 2), (0.6, 10), (0.2857142857142857, 7), (0.8333333333333334, 6), (0.14285714285714285, 7), (0.8333333333333334, 6), (1.0, 4), (1.0, 1), (0.2, 10), (0.5, 2), (0.375, 8), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9499198997004945,3.5579035185259946,3.5127345912421526,0.32154088050314467,0.2401644157369348,0.2749579831932773,0.6897007155623573,0.6809447048086548,0.6852947424400996,0.6578829527424955,2.4227355611603576,0.6853087261701308,0.6852947424400996
