AIC,53112.39478170936
BIC,297330.0497764966
likelihood,135.61871852780973
number of observations,294.0
number of classes,50.0
number of clusters,50.0
purity,0.5340136054421769
rand index,0.944347704952288
entropy (clusters),3.525659235015166
entropy (classes),3.5127345912421526
precision,0.25966183574879226
recall,0.23253082795067528
F-measure,0.24788202070913085
homogeneity,0.675158433758609
completeness,0.6788929838695926
V-Measure,0.6757462750400782
NV-Measure,0.6740215375232983
mutual information,2.371652384832739
normalized mutual information,0.6757465311713938
normalized mutual information 2,0.6757462750400781
