AIC,BIC,likelihood,number of observations,number of classes,number of clusters,purity,purity 2,rand index,entropy (clusters),entropy (classes),precision,recall,F-measure,homogeneity,completeness,V-Measure,NV-Measure,mutual information,normalized mutual information,normalized mutual information 2
220554.31604546163,446737.49693767057,591.1960494317298,40,21,26,0.925,"[(1.0, 1), (0.6666666666666666, 3), (0.5, 2), (1.0, 2), (0.75, 4), (1.0, 1), (1.0, 4), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 2), (1.0, 1)]",0.9666666666666667,3.1212805060718667,2.861011537527429,0.7142857142857143,0.42857142857142855,0.5357142857142857,0.9515453068631112,0.8722003985606404,0.9101468405669796,0.7351186019964066,2.7223821014154392,0.9110094378734572,0.9101468405669795
224598.3073481568,584764.1996892632,555.6558727094947,76,28,30,0.8157894736842105,"[(1.0, 1), (1.0, 1), (0.5, 2), (1.0, 3), (0.5384615384615384, 13), (1.0, 1), (1.0, 4), (1.0, 2), (0.5714285714285714, 7), (1.0, 1), (1.0, 1), (1.0, 1), (0.8, 5), (1.0, 9), (0.5, 6), (1.0, 1), (1.0, 1), (1.0, 3), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 3), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9603508771929825,2.9656839056983784,3.0690614850625026,0.5423728813559322,0.75,0.6295081967213115,0.872333986681615,0.9027417370716436,0.8872774134711305,0.8281255859063885,2.6772466406355706,0.8874076281188894,0.8872774134711305
202527.95850935517,689957.199466696,528.6001595794032,130,37,33,0.6461538461538462,"[(1.0, 1), (1.0, 1), (0.5, 2), (1.0, 3), (0.35, 20), (1.0, 1), (1.0, 1), (1.0, 5), (0.4444444444444444, 9), (1.0, 1), (1.0, 2), (1.0, 1), (0.6470588235294118, 17), (1.0, 2), (1.0, 5), (1.0, 1), (1.0, 1), (0.2777777777777778, 18), (0.5, 10), (0.75, 8), (0.5, 2), (1.0, 1), (1.0, 4), (1.0, 1), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 3), (1.0, 1), (1.0, 1)]",0.93536076326774,2.8976008743854273,3.3402401424834283,0.31309904153354634,0.6363636363636364,0.4197002141327623,0.7539210185107496,0.86909045084607,0.8074195041141561,0.7201309090747878,2.5182772502915975,0.8094600409407716,0.8074195041141561
192427.31103134027,835071.759283328,505.1946420524359,197,40,38,0.5888324873096447,"[(1.0, 1), (1.0, 1), (0.6666666666666666, 3), (0.5, 6), (1.0, 4), (1.0, 2), (1.0, 2), (1.0, 6), (0.4444444444444444, 9), (0.5, 30), (1.0, 2), (1.0, 1), (0.3103448275862069, 29), (1.0, 2), (1.0, 6), (1.0, 1), (0.28205128205128205, 39), (0.5384615384615384, 13), (1.0, 2), (1.0, 6), (0.3333333333333333, 3), (1.0, 2), (1.0, 4), (1.0, 1), (1.0, 1), (1.0, 4), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 2), (1.0, 1), (0.6666666666666666, 3), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9184191443074692,2.858393134806219,3.372037748285461,0.2700892857142857,0.644474034620506,0.380652772316162,0.7247166795247825,0.8549460780647081,0.7844632405125113,0.7452400784868857,2.4437720001696634,0.7871427334783639,0.7844632405125114
236008.9369845382,1029891.8013366224,501.2754691970525,227,45,45,0.5859030837004405,"[(0.5714285714285714, 7), (1.0, 2), (0.6666666666666666, 3), (0.5, 6), (0.5714285714285714, 7), (1.0, 2), (1.0, 2), (1.0, 6), (0.3333333333333333, 12), (0.5588235294117647, 34), (1.0, 2), (1.0, 1), (0.38235294117647056, 34), (1.0, 1), (1.0, 6), (1.0, 1), (0.2826086956521739, 46), (0.8571428571428571, 7), (0.6666666666666666, 3), (1.0, 2), (1.0, 1), (1.0, 2), (1.0, 4), (1.0, 1), (1.0, 2), (1.0, 1), (0.5555555555555556, 9), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 2), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (0.5, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 2)]",0.9174691045183424,2.925425400776236,3.4429028671141646,0.26056043496445,0.6409465020576132,0.3705025275052037,0.7115392186386649,0.8374031398186428,0.7693574554776366,0.7693574554776366,2.4497604159152315,0.7719100827117895,0.7693574554776366
263388.61141868774,1170337.3493531914,503.41877716262456,250,50,50,0.62,"[(0.5714285714285714, 7), (1.0, 2), (0.6666666666666666, 3), (0.5, 6), (0.4444444444444444, 9), (1.0, 3), (1.0, 2), (1.0, 6), (1.0, 3), (0.6111111111111112, 36), (1.0, 2), (1.0, 1), (0.48717948717948717, 39), (0.6666666666666666, 3), (0.8571428571428571, 7), (1.0, 2), (0.2826086956521739, 46), (0.7142857142857143, 7), (0.8, 5), (1.0, 2), (0.6, 10), (1.0, 2), (1.0, 4), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 2), (0.5, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (0.5, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (0.5, 10), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9273574297188755,3.037490593046223,3.490221626212332,0.29932483120780196,0.6700251889168766,0.41379310344827586,0.7381066853301045,0.8481198004328531,0.7892982500027067,0.7892982500027067,2.576155915591031,0.7912034470730792,0.7892982500027067
292320.78425040626,1373841.9054196472,501.51567304352676,294,50,57,0.6326530612244898,"[(0.5, 10), (1.0, 2), (0.75, 4), (0.42857142857142855, 7), (0.4, 10), (1.0, 3), (1.0, 2), (1.0, 6), (0.38461538461538464, 13), (1.0, 1), (1.0, 2), (1.0, 1), (0.5625, 48), (0.6666666666666666, 3), (0.75, 8), (1.0, 2), (0.3181818181818182, 44), (0.75, 8), (0.8, 5), (1.0, 2), (0.625, 8), (1.0, 2), (1.0, 4), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (0.6304347826086957, 46), (0.5, 8), (1.0, 2), (1.0, 4), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (1.0, 1), (0.5, 2), (1.0, 2), (1.0, 1), (1.0, 1), (0.6666666666666666, 3), (1.0, 1), (1.0, 2), (1.0, 1), (1.0, 1), (0.5, 2), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1), (1.0, 1)]",0.9344570592742216,3.123280614606802,3.5127345912421526,0.33889528193325663,0.6917204932472109,0.4549140760764626,0.7397161014417132,0.8319541718668841,0.7831285060778203,0.6869548298928247,2.598426337233095,0.784480654058174,0.7831285060778203
